,0,1,2,3,4,5
727,53,9,50,8,0,0
728,112,19,104,15,0,0
729,120,18,101,14,0,0
730,62,10,60,9,0,0
731,71,14,66,11,0,0
732,127,25,122,19,1,0
733,109,21,106,15,0,0
734,52,9,48,8,0,0
735,43,9,39,8,1,0
736,107,17,100,15,1,0
737,104,18,102,14,0,0
738,130,21,119,19,0,0
739,56,11,54,8,0,0
740,51,9,48,9,0,0
741,104,20,101,14,0,0
742,80,11,71,11,1,0
743,92,17,87,13,0,0
744,93,17,89,14,0,0
745,93,16,89,14,0,0
746,39,7,35,4,0,0
747,56,5,43,5,0,0
748,54,7,50,6,0,0
749,133,24,125,22,1,0
750,33,5,31,3,0,0
751,44,5,42,3,0,0
752,39,5,37,4,0,0
753,109,17,103,13,0,0
754,66,12,63,11,0,0
755,87,14,77,12,0,0
756,57,10,54,9,1,0
757,28,5,27,4,0,0
758,42,10,41,9,0,0
759,65,11,62,10,0,0
760,30,4,27,4,0,0
761,60,6,49,6,1,0
762,70,12,64,12,0,0
763,19,5,18,3,0,0
764,89,15,83,15,0,0
765,126,20,117,15,0,0
766,40,8,33,8,0,0
767,108,21,106,16,1,0
768,114,24,104,19,1,0
769,46,9,44,8,0,0
770,23,4,21,4,0,0
771,28,5,25,5,0,0
772,131,28,127,16,0,0
773,101,16,95,13,0,0
774,21,4,21,4,0,0
775,83,11,78,9,0,0
776,83,17,80,13,1,0
777,93,17,90,13,0,0
778,66,13,61,11,0,0
779,135,26,128,18,1,0
780,124,25,119,16,3,0
781,24,4,23,4,0,0
782,109,19,105,16,0,0
783,41,6,38,5,0,0
784,136,24,129,16,1,1
785,133,26,126,20,0,0
786,135,26,131,19,0,0
787,27,6,24,6,0,0
788,137,27,132,22,2,0
789,136,23,129,17,1,0
790,133,28,124,24,3,0
791,129,21,114,18,3,0
792,119,24,112,19,2,0
793,81,17,77,13,1,0
794,47,8,38,6,0,0
795,34,6,33,5,0,0
796,138,19,134,16,2,0
797,33,4,32,3,0,0
798,34,5,32,5,0,0
799,15,4,13,4,0,0
800,54,6,47,6,0,0
801,21,4,20,3,0,0
802,27,6,26,6,0,0
803,103,21,100,17,1,0
804,129,19,121,15,1,0
805,33,6,32,6,0,0
806,105,19,103,16,2,0
807,56,9,52,6,0,0
808,32,5,31,4,0,0
809,102,20,97,18,1,0
810,130,26,127,20,0,0
